,condition,shipping,size,item,day,measurement,new,inch,cm,length,question,vintage,check,number,used,payment,pit,good,ask,ship,tag,free,u,purchase,made,worn,price,like
202,2,1,1,3,1,2,1,0,1,0,3,0,0,1,2,0,0,2,4,1,0,0,0,0,0,1,0,1
203,1,0,2,7,0,1,1,2,0,1,2,1,2,1,1,1,2,0,1,1,1,0,0,0,1,0,0,1
204,1,0,1,2,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,5,1,0,2,0
205,2,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
206,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
207,3,0,1,2,0,3,1,2,1,0,1,0,2,1,1,0,2,1,0,0,3,0,1,1,1,0,0,1
208,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
209,3,3,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1
210,1,2,2,1,1,1,0,0,3,0,1,0,3,1,0,2,2,0,1,0,1,1,0,0,0,0,1,0
211,3,3,4,4,3,4,1,2,1,1,1,2,0,0,0,1,2,0,0,0,1,0,0,0,0,0,3,1
212,2,1,2,0,0,2,0,0,0,0,1,2,3,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0
213,1,2,3,1,1,2,1,0,0,0,1,0,0,1,0,1,2,0,1,1,1,1,0,0,0,0,0,0
214,4,4,1,3,1,2,1,2,0,1,2,0,1,2,2,1,0,1,1,0,2,1,0,0,1,0,1,1
215,2,0,2,1,0,5,0,3,0,1,0,0,1,1,0,1,2,1,0,0,3,0,0,1,1,0,0,0
216,2,1,1,3,2,2,0,3,0,1,0,0,3,2,1,2,0,1,0,0,0,0,0,1,0,1,0,0
217,0,1,0,1,0,1,0,0,0,1,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
218,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
